"","field","required","type","description","table","schema"
"201","preceding_visit_detail_id","No","INTEGER","A foreign key to the VISIT_DETAIL table of the visit immediately preceding this visit","visit_detail","cdm"
"202","visit_detail_parent_id","No","INTEGER","A foreign key to the VISIT_DETAIL table record to represent the immediate parent visit-detail record.","visit_detail","cdm"
"203","visit_occurrence_id","Yes","INTEGER","A foreign key that refers to the record in the VISIT_OCCURRENCE table. This is a required field, because for every visit_detail is a child of visit_occurrence and cannot exist without a corresponding parent record in visit_occurrence.","visit_detail","cdm"
"204","visit_occurrence_id","Yes","INTEGER","A unique identifier for each Person's visit or encounter at a healthcare provider.","visit_occurrence","cdm"
"205","person_id","Yes","INTEGER","A foreign key identifier to the Person for whom the visit is recorded. The demographic details of that Person are stored in the PERSON table.","visit_occurrence","cdm"
"206","visit_concept_id","Yes","INTEGER","A foreign key that refers to a visit Concept identifier in the Standardized Vocabularies.","visit_occurrence","cdm"
"207","visit_start_date","Yes","DATE","The start date of the visit.","visit_occurrence","cdm"
"208","visit_start_datetime","No","DATETIME","The date and time of the visit started.","visit_occurrence","cdm"
"209","visit_end_date","Yes","DATE","The end date of the visit. If this is a one-day visit the end date should match the start date.","visit_occurrence","cdm"
"210","visit_end_datetime","No","DATETIME","The date and time of the visit end.","visit_occurrence","cdm"
"211","visit_type_concept_id","Yes","INTEGER","A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of source data from which the visit record is derived.","visit_occurrence","cdm"
"212","provider_id","No","INTEGER","A foreign key to the provider in the provider table who was associated with the visit.","visit_occurrence","cdm"
"213","care_site_id","No","INTEGER","A foreign key to the care site in the care site table that was visited.","visit_occurrence","cdm"
"214","visit_source_value","No","VARCHAR(50)","The source code for the visit as it appears in the source data.","visit_occurrence","cdm"
"215","visit_source_concept_id","No","INTEGER","A foreign key to a Concept that refers to the code used in the source.","visit_occurrence","cdm"
"216","admitting_source_concept_id","No","INTEGER","A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the admitting source for a visit.","visit_occurrence","cdm"
"217","admitting_source_value","No","VARCHAR(50)","The source code for the admitting source as it appears in the source data.","visit_occurrence","cdm"
"218","discharge_to_concept_id","No","INTEGER","A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the discharge disposition for a visit.","visit_occurrence","cdm"
"219","discharge_to_source_value","No","VARCHAR(50)","The source code for the discharge disposition as it appears in the source data.","visit_occurrence","cdm"
"220","preceding_visit_occurrence_id","No","INTEGER","A foreign key to the VISIT_OCCURRENCE table of the visit immediately preceding this visit","visit_occurrence","cdm"
"221","cohort_definition_id","Yes","INTEGER","A foreign key to a record in the COHORT_DEFINITION table containing relevant Cohort Definition information.","cohort","results"
"222","subject_id","Yes","INTEGER","A foreign key to the subject in the cohort. These could be referring to records in the PERSON, PROVIDER, VISIT_OCCURRENCE table.","cohort","results"
"223","cohort_start_date","Yes","DATE","The date when the Cohort Definition criteria for the Person, Provider or Visit first match.","cohort","results"
"224","cohort_end_date","Yes","DATE","The date when the Cohort Definition criteria for the Person, Provider or Visit no longer match or the Cohort membership was terminated.","cohort","results"
"225","cohort_definition_id","Yes","INTEGER","A foreign key to a record in the [COHORT_DEFINITION](https://github.com/OHDSI/CommonDataModel/wiki/COHORT_DEFINITION) table containing relevant Cohort Definition information.","cohort_attribute","results"
"226","subject_id","Yes","INTEGER","A foreign key to the subject in the Cohort. These could be referring to records in the PERSON, PROVIDER, VISIT_OCCURRENCE table.","cohort_attribute","results"
"227","cohort_start_date","Yes","DATE","The date when the Cohort Definition criteria for the Person, Provider or Visit first match.","cohort_attribute","results"
"228","cohort_end_date","Yes","DATE","The date when the Cohort Definition criteria for the Person, Provider or Visit no longer match or the Cohort membership was terminated.","cohort_attribute","results"
"229","attribute_definition_id","Yes","INTEGER","A foreign key to a record in the [ATTRIBUTE_DEFINITION](https://github.com/OHDSI/CommonDataModel/wiki/ATTRIBUTE_DEFINITION) table containing relevant Attribute Definition information.","cohort_attribute","results"
"230","value_as_number","No","FLOAT","The attribute result stored as a number. This is applicable to attributes where the result is expressed as a numeric value.","cohort_attribute","results"
"231","value_as_concept_id","No","INTEGER","The attribute result stored as a Concept ID. This is applicable to attributes where the result is expressed as a categorical value.","cohort_attribute","results"
"232","condition_era_id","Yes","INTEGER","A unique identifier for each Condition Era.","condition_era","cdm"
"233","person_id","Yes","INTEGER","A foreign key identifier to the Person who is experiencing the Condition during the Condition Era. The demographic details of that Person are stored in the PERSON table.","condition_era","cdm"
"234","condition_concept_id","Yes","INTEGER","A foreign key that refers to a standard Condition Concept identifier in the Standardized Vocabularies.","condition_era","cdm"
"235","condition_era_start_date","Yes","DATE","The start date for the Condition Era constructed from the individual instances of Condition Occurrences. It is the start date of the very first chronologically recorded instance of the condition.","condition_era","cdm"
"236","condition_era_end_date","Yes","DATE","The end date for the Condition Era constructed from the individual instances of Condition Occurrences. It is the end date of the final continuously recorded instance of the Condition.","condition_era","cdm"
"237","condition_occurrence_count","No","INTEGER","The number of individual Condition Occurrences used to construct the condition era.","condition_era","cdm"
"238","dose_era_id","Yes","INTEGER","A unique identifier for each Dose Era.","dose_era","cdm"
"239","person_id","Yes","INTEGER","A foreign key identifier to the Person who is subjected to the drug during the drug era. The demographic details of that Person are stored in the PERSON table.","dose_era","cdm"
"240","drug_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the active Ingredient Concept.","dose_era","cdm"
"241","unit_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the unit concept.","dose_era","cdm"
"242","dose_value","Yes","FLOAT","The numeric value of the dose.","dose_era","cdm"
"243","dose_era_start_date","Yes","DATE","The start date for the drug era constructed from the individual instances of drug exposures. It is the start date of the very first chronologically recorded instance of utilization of a drug.","dose_era","cdm"
"244","dose_era_end_date","Yes","DATE","The end date for the drug era constructed from the individual instance of drug exposures. It is the end date of the final continuously recorded instance of utilization of a drug.","dose_era","cdm"
"245","drug_era_id","Yes","INTEGER","A unique identifier for each Drug Era.","drug_era","cdm"
"246","person_id","Yes","INTEGER","A foreign key identifier to the Person who is subjected to the Drug during the fDrug Era. The demographic details of that Person are stored in the PERSON table.","drug_era","cdm"
"247","drug_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Ingredient Concept.","drug_era","cdm"
"248","drug_era_start_date","Yes","DATE","The start date for the Drug Era constructed from the individual instances of Drug Exposures. It is the start date of the very first chronologically recorded instance of conutilization of a Drug.","drug_era","cdm"
"249","drug_era_end_date","Yes","DATE","The end date for the drug era constructed from the individual instance of drug exposures. It is the end date of the final continuously recorded instance of utilization of a drug.","drug_era","cdm"
"250","drug_exposure_count","No","INTEGER","The number of individual Drug Exposure occurrences used to construct the Drug Era.","drug_era","cdm"
"251","gap_days","No","INTEGER","The number of days that are not covered by DRUG_EXPOSURE records that were used to make up the era record.","drug_era","cdm"
"252","cost_id","Yes","INTEGER","A unique identifier for each COST record.","cost","cdm"
"253","cost_event_id","Yes","INTEGER","A foreign key identifier to the event (e.g. Measurement, Procedure, Visit, Drug Exposure, etc) record for which cost data are recorded.","cost","cdm"
"254","cost_domain_id","Yes","VARCHAR(20)","The concept representing the domain of the cost event, from which the corresponding table can be inferred that contains the entity for which cost information is recorded.","cost","cdm"
"255","cost_type_concept_id","Yes","INTEGER","A foreign key identifier to a concept in the CONCEPT table for the provenance or the source of the COST data: Calculated from insurance claim information, provider revenue, calculated from cost-to-charge ratio, reported from accounting database, etc.","cost","cdm"
"256","currency_concept_id","No","INTEGER","A foreign key identifier to the concept representing the 3-letter code used to delineate international currencies, such as USD for US Dollar.","cost","cdm"
"257","total_charge","No","FLOAT","The total amount charged by some provider of goods or services (e.g. hospital, physician pharmacy, dme provider) to payers (insurance companies, the patient).","cost","cdm"
"258","total_cost","No","FLOAT","The cost incurred by the provider of goods or services.","cost","cdm"
"259","total_paid","No","FLOAT","The total amount actually paid from all payers for goods or services of the provider.","cost","cdm"
"260","paid_by_payer","No","FLOAT","The amount paid by the Payer for the goods or services.","cost","cdm"
"261","paid_by_patient","No","FLOAT","The total amount paid by the Person as a share of the expenses.","cost","cdm"
"262","paid_patient_copay","No","FLOAT","The amount paid by the Person as a fixed contribution to the expenses.","cost","cdm"
"263","paid_patient_coinsurance","No","FLOAT","The amount paid by the Person as a joint assumption of risk. Typically, this is a percentage of the expenses defined by the Payer Plan after the Person's deductible is exceeded.","cost","cdm"
"264","paid_patient_deductible","No","FLOAT","The amount paid by the Person that is counted toward the deductible defined by the Payer Plan. paid_patient_deductible does contribute to the paid_by_patient variable.","cost","cdm"
"265","paid_by_primary","No","FLOAT","The amount paid by a primary Payer through the coordination of benefits.","cost","cdm"
"266","paid_ingredient_cost","No","FLOAT","The amount paid by the Payer to a pharmacy for the drug, excluding the amount paid for dispensing the drug.  paid_ingredient_cost contributes to the paid_by_payer field if this field is populated with a nonzero value.","cost","cdm"
"267","paid_dispensing_fee","No","FLOAT","The amount paid by the Payer to a pharmacy for dispensing a drug, excluding the amount paid for the drug ingredient. paid_dispensing_fee contributes to the paid_by_payer field if this field is populated with a nonzero value.","cost","cdm"
"268","payer_plan_period_id","No","INTEGER","A foreign key to the PAYER_PLAN_PERIOD table, where the details of the Payer, Plan and Family are stored.  Record the payer_plan_id that relates to the payer who contributed to the paid_by_payer field.","cost","cdm"
"269","amount_allowed","No","FLOAT","The contracted amount agreed between the payer and provider.","cost","cdm"
"270","revenue_code_concept_id","No","INTEGER","A foreign key referring to a Standard Concept ID in the Standardized Vocabularies for Revenue codes.","cost","cdm"
"271","revenue_code_source_value","No","VARCHAR(50)","The source code for the Revenue code as it appears in the source data, stored here for reference.","cost","cdm"
"272","drg_concept_id","No","INTEGER","A foreign key to the predefined concept in the DRG Vocabulary reflecting the DRG for a visit.","cost","cdm"
"273","drg_source_value","No","VARCHAR(3)","The 3-digit DRG source code as it appears in the source data.","cost","cdm"
"274","payer_plan_period_id","Yes","INTEGER","A identifier for each unique combination of payer, sponsor, plan, family code and time span.","payer_plan_period","cdm"
"275","person_id","Yes","INTEGER","A foreign key identifier to the Person covered by the payer. The demographic details of that Person are stored in the PERSON table.","payer_plan_period","cdm"
"276","payer_plan_period_start_date","Yes","DATE","The start date of the payer plan period.","payer_plan_period","cdm"
"277","payer_plan_period_end_date","Yes","DATE","The end date of the payer plan period.","payer_plan_period","cdm"
"278","payer_concept_id","No","INTEGER","A foreign key that refers to a Standard Payer concept identifiers in the Standardized Vocabularies","payer_plan_period","cdm"
"279","payer_source_value","No","VARCHAR(50)","The source code for the payer as it appears in the source data.","payer_plan_period","cdm"
"280","payer_source_concept_id","No","INTEGER","A foreign key to a payer concept that refers to the code used in the source.","payer_plan_period","cdm"
"281","plan_concept_id","No","INTEGER","A foreign key that refers to a Standard plan that represents the health benefit plan in the Standardized Vocabularies","payer_plan_period","cdm"
"282","plan_source_value","No","VARCHAR(50)","The source code for the Person's health benefit plan as it appears in the source data.","payer_plan_period","cdm"
"283","plan_source_concept_id","No","INTEGER","A foreign key to a plan concept that refers to the code used in the source.","payer_plan_period","cdm"
"284","sponsor_concept_id","No","INTEGER","A foreign key that refers to a Standard plan that represents the sponsor in the Standardized Vocabularies","payer_plan_period","cdm"
"285","sponsor_source_value","No","VARCHAR(50)","The source code for the Person's sponsor of the health plan as it appears in the source data.","payer_plan_period","cdm"
"286","sponsor_source_concept_id*","No","INTEGER","A foreign key to a sponsor concept that refers to the code used in the source.","payer_plan_period","cdm"
"287","family_source_value","No","VARCHAR(50)","The source code for the Person's family as it appears in the source data.","payer_plan_period","cdm"
"288","stop_reason_concept_id","No","INTEGER","A foreign key that refers to a Standard termination reason that represents the reason for the termination in the Standardized Vocabularies.","payer_plan_period","cdm"
"289","stop_reason_source_value","No","VARCHAR(50)","The reason for stop-coverage of the record.","payer_plan_period","cdm"
"290","stop_reason_source_concept_id","No","INTEGER","A foreign key to a stop-coverage concept that refers to the code used in the source.","payer_plan_period","cdm"
"291","care_site_id","Yes","INTEGER","A unique identifier for each Care Site.","care_site","cdm"
"292","care_site_name","No","VARCHAR(255)","The verbatim description or name of the Care Site as in data source","care_site","cdm"
"293","place_of_service_concept_id","No","INTEGER","A foreign key that refers to a Place of Service Concept ID in the Standardized Vocabularies.","care_site","cdm"
"294","location_id","No","INTEGER","A foreign key to the geographic Location in the LOCATION table, where the detailed address information is stored.","care_site","cdm"
"295","care_site_source_value","No","VARCHAR(50)","The identifier for the Care Site in the source data, stored here for reference.","care_site","cdm"
"296","place_of_service_source_value","No","VARCHAR(50)","The source code for the Place of Service as it appears in the source data, stored here for reference.","care_site","cdm"
"297","location_id","Yes","INTEGER","A unique identifier for each geographic location.","location","cdm"
"298","address_1","No","VARCHAR(50)","The address field 1, typically used for the street address, as it appears in the source data.","location","cdm"
"299","address_2","No","VARCHAR(50)","The address field 2, typically used for additional detail such as buildings, suites, floors, as it appears in the source data.","location","cdm"
"300","city","No","VARCHAR(50)","The city field as it appears in the source data.","location","cdm"
"301","state","No","VARCHAR(2)","The state field as it appears in the source data.","location","cdm"
"302","zip","No","VARCHAR(9)","The zip or postal code.","location","cdm"
"303","county","No","VARCHAR(20)","The county.","location","cdm"
"304","location_source_value","No","VARCHAR(50)","The verbatim information that is used to uniquely identify the location as it appears in the source data.","location","cdm"
"305","provider_id","Yes","INTEGER","A unique identifier for each Provider.","provider","cdm"
"306","provider_name","No","VARCHAR(255)","A description of the Provider.","provider","cdm"
"307","npi","No","VARCHAR(20)","The National Provider Identifier (NPI) of the provider.","provider","cdm"
"308","dea","No","VARCHAR(20)","The Drug Enforcement Administration (DEA) number of the provider.","provider","cdm"
"309","specialty_concept_id","No","INTEGER","A foreign key to a Standard Specialty Concept ID in the Standardized Vocabularies.","provider","cdm"
"310","care_site_id","No","INTEGER","A foreign key to the main Care Site where the provider is practicing.","provider","cdm"
"311","year_of_birth","No","INTEGER","The year of birth of the Provider.","provider","cdm"
"312","gender_concept_id","No","INTEGER","The gender of the Provider.","provider","cdm"
"313","provider_source_value","No","VARCHAR(50)","The identifier used for the Provider in the source data, stored here for reference.","provider","cdm"
"314","specialty_source_value","No","VARCHAR(50)","The source code for the Provider specialty as it appears in the source data, stored here for reference.","provider","cdm"
"315","specialty_source_concept_id","No","INTEGER","A foreign key to a Concept that refers to the code used in the source.","provider","cdm"
"316","gender_source_value","No","VARCHAR(50)","The gender code for the Provider as it appears in the source data, stored here for reference.","provider","cdm"
"317","gender_source_concept_id","No","INTEGER","A foreign key to a Concept that refers to the code used in the source.","provider","cdm"
"318","cdm_source_name","Yes","VARCHAR(255)","The full name of the source","cdm_source","cdm"
"319","cdm_source_abbreviation","No","VARCHAR(25)","An abbreviation of the name","cdm_source","cdm"
"320","cdm_holder","No","VARCHAR(255)","The name of the organization responsible for the development of the CDM instance","cdm_source","cdm"
"321","source_description","No","CLOB","A description of the source data origin and purpose for collection. The description may contain a summary of the period of time that is expected to be covered by this dataset.","cdm_source","cdm"
"322","source_documentation_reference","No","VARCHAR(255)","URL or other external reference to location of source documentation","cdm_source","cdm"
"323","cdm_etl_reference","No","VARCHAR(255)","URL or other external reference to location of ETL specification documentation and ETL source code","cdm_source","cdm"
"324","source_release_date","No","DATE","The date for which the source data are most current, such as the last day of data capture","cdm_source","cdm"
"325","cdm_release_date","No","DATE","The date when the CDM was instantiated","cdm_source","cdm"
"326","cdm_version","No","VARCHAR(10)","The version of CDM used","cdm_source","cdm"
"327","vocabulary_version","No","VARCHAR(20)","The version of the vocabulary used","cdm_source","cdm"
"328","metadata_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Metadata Concept identifier in the Standardized Vocabularies.","metadata","cdm"
"329","metadata_type_concept_id","Yes","INTEGER","A foreign key that refers to a Standard Type Concept identifier in the Standardized Vocabularies.","metadata","cdm"
"330","name","Yes","VARCHAR(250)","The name of the Concept stored in metadata_concept_id or a description of the data being stored.","metadata","cdm"
"331","value_as_string","No","NVARCHAR","The metadata value stored as a string.","metadata","cdm"
"332","value_as_concept_id","No","INTEGER","A foreign key to a metadata value stored as a Concept ID.","metadata","cdm"
"333","metadata date","No","DATE","The date associated with the metadata","metadata","cdm"
"334","metadata_datetime","No","DATETIME","The date and time associated with the metadata","metadata","cdm"
"335","attribute_definition_id","Yes","INTEGER","A unique identifier for each Attribute.","attribute_definition","cdm"
"336","attribute_name","Yes","VARCHAR(255)","A short description of the Attribute.","attribute_definition","cdm"
"337","attribute_description","No","VARCHAR(MAX)","A complete description of the Attribute definition","attribute_definition","cdm"
"338","attribute_type_concept_id","Yes","INTEGER","Type defining what kind of Attribute Definition the record represents and how the syntax may be executed","attribute_definition","cdm"
"339","attribute_syntax","No","VARCHAR(MAX)","Syntax or code to operationalize the Attribute definition","attribute_definition","cdm"
"340","cohort_definition_id","Yes","INTEGER","A unique identifier for each Cohort.","cohort_definition","cdm"
"341","cohort_definition_name","Yes","VARCHAR(255)","A short description of the Cohort.","cohort_definition","cdm"
"342","cohort_definition_description","No","VARCHAR(MAX)","A complete description of the Cohort definition","cohort_definition","cdm"
"343","definition_type_concept_id","Yes","INTEGER","Type defining what kind of Cohort Definition the record represents and how the syntax may be executed","cohort_definition","cdm"
"344","cohort_definition_syntax","No","VARCHAR(MAX)","Syntax or code to operationalize the Cohort definition","cohort_definition","cdm"
"345","subject_concept_id","Yes","INTEGER","A foreign key to the Concept to which defines the domain of subjects that are members of the cohort (e.g., Person, Provider, Visit).","cohort_definition","cdm"
"346","cohort_initiation_date","No","DATE","A date to indicate when the Cohort was initiated in the COHORT table","cohort_definition","cdm"
"347","concept_id","Yes","INTEGER","A unique identifier for each Concept across all domains.","concept","cdm"
"348","concept_name","Yes","VARCHAR(255)","An unambiguous, meaningful and descriptive name for the Concept.","concept","cdm"
"349","domain_id","Yes","VARCHAR(20)","A foreign key to the [DOMAIN](https://github.com/OHDSI/CommonDataModel/wiki/DOMAIN) table the Concept belongs to.","concept","cdm"
"350","vocabulary_id","Yes","VARCHAR(20)","A foreign key to the [VOCABULARY](https://github.com/OHDSI/CommonDataModel/wiki/VOCABULARY) table indicating from which source the Concept has been adapted.","concept","cdm"
"351","concept_class_id","Yes","VARCHAR(20)","The attribute or concept class of the Concept. Examples are 'Clinical Drug', 'Ingredient', 'Clinical Finding' etc.","concept","cdm"
"352","standard_concept","No","VARCHAR(1)","This flag determines where a Concept is a Standard Concept, i.e. is used in the data, a Classification Concept, or a non-standard Source Concept. The allowables values are 'S' (Standard Concept) and 'C' (Classification Concept), otherwise the content is NULL.","concept","cdm"
"353","concept_code","Yes","VARCHAR(50)","The concept code represents the identifier of the Concept in the source vocabulary, such as SNOMED-CT concept IDs, RxNorm RXCUIs etc. Note that concept codes are not unique across vocabularies.","concept","cdm"
"354","valid_start_date","Yes","DATE","The date when the Concept was first recorded. The default value is 1-Jan-1970, meaning, the Concept has no (known) date of inception.","concept","cdm"
"355","valid_end_date","Yes","DATE","The date when the Concept became invalid because it was deleted or superseded (updated) by a new concept. The default value is 31-Dec-2099, meaning, the Concept is valid until it becomes deprecated.","concept","cdm"
"356","invalid_reason","No","VARCHAR(1)","Reason the Concept was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value.","concept","cdm"
"357","ancestor_concept_id","Yes","INTEGER","A foreign key to the concept in the concept table for the higher-level concept that forms the ancestor in the relationship.","concept_ancestor","cdm"
"358","descendant_concept_id","Yes","INTEGER","A foreign key to the concept in the concept table for the lower-level concept that forms the descendant in the relationship.","concept_ancestor","cdm"
"359","min_levels_of_separation","Yes","INTEGER","The minimum separation in number of levels of hierarchy between ancestor and descendant concepts. This is an attribute that is used to simplify hierarchic analysis.","concept_ancestor","cdm"
"360","max_levels_of_separation","Yes","INTEGER","The maximum separation in number of levels of hierarchy between ancestor and descendant concepts. This is an attribute that is used to simplify hierarchic analysis.","concept_ancestor","cdm"
"361","concept_class_id","Yes","VARCHAR(20)","A unique key for each class.","concept_class","cdm"
"362","concept_class_name","Yes","VARCHAR(255)","The name describing the Concept Class, e.g. ""Clinical Finding"", ""Ingredient"", etc.","concept_class","cdm"
"363","concept_class_concept_id","Yes","INTEGER","A foreign key that refers to an identifier in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table for the unique Concept Class the record belongs to.","concept_class","cdm"
"364","concept_id_1","Yes","INTEGER","A foreign key to a Concept in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table associated with the relationship. Relationships are directional, and this field represents the source concept designation.","concept_relationship","cdm"
"365","concept_id_2","Yes","INTEGER","A foreign key to a Concept in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table associated with the relationship. Relationships are directional, and this field represents the destination concept designation.","concept_relationship","cdm"
"366","relationship_id","Yes","VARCHAR(20)","A unique identifier to the type or nature of the Relationship as defined in the [RELATIONSHIP](https://github.com/OHDSI/CommonDataModel/wiki/RELATIONSHIP) table.","concept_relationship","cdm"
"367","valid_start_date","Yes","DATE","The date when the instance of the Concept Relationship is first recorded.","concept_relationship","cdm"
"368","valid_end_date","Yes","DATE","The date when the Concept Relationship became invalid because it was deleted or superseded (updated) by a new relationship. Default value is 31-Dec-2099.","concept_relationship","cdm"
"369","invalid_reason","No","VARCHAR(1)","Reason the relationship was invalidated. Possible values are 'D' (deleted), 'U' (replaced with an update) or NULL when valid_end_date has the default value.","concept_relationship","cdm"
"370","concept_id","Yes","INTEGER","A foreign key to the Concept in the CONCEPT table.","concept_synonym","cdm"
"371","concept_synonym_name","Yes","VARCHAR(1000)","The alternative name for the Concept.","concept_synonym","cdm"
"372","language_concept_id","Yes","INTEGER","A foreign key to a Concept representing the language.","concept_synonym","cdm"
"373","domain_id","Yes","VARCHAR(20)","A unique key for each domain.","domain","cdm"
"374","domain_name","Yes","VARCHAR(255)","The name describing the Domain, e.g. ""Condition"", ""Procedure"", ""Measurement"" etc.","domain","cdm"
"375","domain_concept_id","Yes","INTEGER","A foreign key that refers to an identifier in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table for the unique Domain Concept the Domain record belongs to.","domain","cdm"
"376","drug_concept_id","Yes","INTEGER","A foreign key to the Concept in the CONCEPT table representing the identifier for Branded Drug or Clinical Drug Concept.","drug_strength","cdm"
"377","ingredient_concept_id","Yes","INTEGER","A foreign key to the Concept in the CONCEPT table, representing the identifier for drug Ingredient Concept contained within the drug product.","drug_strength","cdm"
"378","amount_value","No","FLOAT","The numeric value associated with the amount of active ingredient contained within the product.","drug_strength","cdm"
"379","amount_unit_concept_id","No","INTEGER","A foreign key to the Concept in the CONCEPT table representing the identifier for the Unit for the absolute amount of active ingredient.","drug_strength","cdm"
"380","numerator_value","No","FLOAT","The numeric value associated with the concentration of the active ingredient contained in the product","drug_strength","cdm"
"381","numerator_unit_concept_id","No","INTEGER","A foreign key to the Concept in the CONCEPT table representing the identifier for the numerator Unit for the concentration of active ingredient.","drug_strength","cdm"
"382","denominator_value","No","FLOAT","The amount of total liquid (or other divisible product, such as ointment, gel, spray, etc.).","drug_strength","cdm"
"383","denominator_unit_concept_id","No","INTEGER","A foreign key to the Concept in the CONCEPT table representing the identifier for the denominator Unit for the concentration of active ingredient.","drug_strength","cdm"
"384","box_size","No","INTEGER","The number of units of Clinical of Branded Drug, or Quantified Clinical or Branded Drug contained in a box as dispensed to the patient","drug_strength","cdm"
"385","valid_start_date","Yes","DATE","The date when the Concept was first recorded. The default value is 1-Jan-1970.","drug_strength","cdm"
"386","valid_end_date","Yes","DATE","The date when the concept became invalid because it was deleted or superseded (updated) by a new Concept. The default value is 31-Dec-2099.","drug_strength","cdm"
"387","invalid_reason","No","VARCHAR(1)","Reason the concept was invalidated. Possible values are 'D' (deleted), 'U' (replaced with an update) or NULL when valid_end_date has the default value.","drug_strength","cdm"
"388","relationship_id","Yes","VARCHAR(20)","The type of relationship captured by the relationship record.","relationship","cdm"
"389","relationship_name","Yes","VARCHAR(255)","The text that describes the relationship type.","relationship","cdm"
"390","is_hierarchical","Yes","VARCHAR(1)","Defines whether a relationship defines concepts into classes or hierarchies. Values are 1 for hierarchical relationship or 0 if not.","relationship","cdm"
"391","defines_ancestry","Yes","VARCHAR(1)","Defines whether a hierarchical relationship contributes to the concept_ancestor table. These are subsets of the hierarchical relationships. Valid values are 1 or 0.","relationship","cdm"
"392","reverse_relationship_id","Yes","VARCHAR(20)","The identifier for the relationship used to define the reverse relationship between two concepts.","relationship","cdm"
"393","relationship_concept_id","Yes","INTEGER","A foreign key that refers to an identifier in the CONCEPT table for the unique relationship concept.","relationship","cdm"
"394","source_code","Yes","VARCHAR(50)","The source code being translated into a Standard Concept.","source_to_concept_map","cdm"
"395","source_concept_id","Yes","INTEGER","A foreign key to the Source Concept that is being translated into a Standard Concept.","source_to_concept_map","cdm"
"396","source_vocabulary_id","Yes","VARCHAR(20)","A foreign key to the VOCABULARY table defining the vocabulary of the source code that is being translated to a Standard Concept.","source_to_concept_map","cdm"
"397","source_code_description","No","VARCHAR(255)","An optional description for the source code. This is included as a convenience to compare the description of the source code to the name of the concept.","source_to_concept_map","cdm"
"398","target_concept_id","Yes","INTEGER","A foreign key to the target Concept to which the source code is being mapped.","source_to_concept_map","cdm"
"399","target_vocabulary_id","Yes","VARCHAR(20)","A foreign key to the VOCABULARY table defining the vocabulary of the target Concept.","source_to_concept_map","cdm"
"400","valid_start_date","Yes","DATE","The date when the mapping instance was first recorded.","source_to_concept_map","cdm"
"401","valid_end_date","Yes","DATE","The date when the mapping instance became invalid because it was deleted or superseded (updated) by a new relationship. Default value is 31-Dec-2099.","source_to_concept_map","cdm"
"402","invalid_reason","No","VARCHAR(1)","Reason the mapping instance was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value.","source_to_concept_map","cdm"
"403","vocabulary_id","Yes","VARCHAR(20)","A unique identifier for each Vocabulary, such as ICD9CM, SNOMED, Visit.","vocabulary","cdm"
"404","vocabulary_name","Yes","VARCHAR(255)","The name describing the vocabulary, for example ""International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)"" etc.","vocabulary","cdm"
"405","vocabulary_reference","Yes","VARCHAR(255)","External reference to documentation or available download of the about the vocabulary.","vocabulary","cdm"
"406","vocabulary_version","No","VARCHAR(255)","Version of the Vocabulary as indicated in the source.","vocabulary","cdm"
"407","vocabulary_concept_id","Yes","INTEGER","A foreign key that refers to a standard concept identifier in the CONCEPT table for the Vocabulary the VOCABULARY record belongs to.","vocabulary","cdm"
